method,g_steps,tau_steps,use_corrector,corrector,c_stepsize,c_steps,nfe,time_mean,time_var,time_skew,time_kurt,freq_mean,freq_var,freq_skew,freq_kurt,tag
tauleaping,0,20,True,mpf,0.1,1,38.0,0.003401916308671,0.0001006511573692,0.066906518069287,0.2179439387494391,0.0034019174399082,0.0014545553069994,0.605377888713691,4.498849792830854,tauleaping+1mpf-0.1
tauleaping,0,20,True,mpf,0.1,1,38.0,0.0017435459488136,0.000168660868617,0.0506781321121057,0.2622470574756276,0.001743547269368,0.0024264048146854,0.4558818320470417,4.309497767267,tauleaping+1mpf-0.1
tauleaping,0,20,True,mpf,0.1,1,38.0,0.0012895497042948,0.0002754124329937,0.0358496354097352,0.2742049738035378,0.0012895500482511,0.0020239270268471,0.596563971714417,4.409573508037479,tauleaping+1mpf-0.1
tauleaping,0,20,True,mpf,0.1,1,38.0,0.0015362509380215,0.0001152426343346,0.0363178233893705,0.2062213574133472,0.0015362517847852,0.001906268935156,0.5670398412137047,4.954251525102603,tauleaping+1mpf-0.1
tauleaping,0,20,True,mpf,0.1,1,38.0,0.0011524805409743,0.0002830873651684,0.0330796667726449,0.1380375653676638,0.0011524812799219,0.0016274073113062,0.396256717629504,4.628783002021052,tauleaping+1mpf-0.1
tauleaping,0,20,True,mpf,0.1,1,38.0,0.0010215749480288,0.000113363538669,0.027992230849854,0.1550646714010577,0.0010215756408548,0.001910113438657,0.4168894396062562,4.510214989829044,tauleaping+1mpf-0.1
tauleaping,0,20,True,mpf,0.1,1,38.0,0.0014799145405145,0.0002809565188306,0.0395036797126725,0.1929341236401129,0.0014799156451535,0.0012650593406246,0.3396634155414372,2.7208920319231127,tauleaping+1mpf-0.1
tauleaping,0,20,True,mpf,0.1,1,38.0,0.0016619900403637,0.0001210007543578,0.0591866424823864,0.4163282995554744,0.0016619909011309,0.0016532395153525,0.4143218632082534,3.758001935048512,tauleaping+1mpf-0.1
tauleaping,0,20,True,mpf,0.1,1,38.0,0.0017972332490597,0.0001948158738508,0.0387269602110149,0.1998314392886514,0.0017972337797926,0.0021940494587798,0.4192008629498064,4.317996200759231,tauleaping+1mpf-0.1
tauleaping,0,20,True,mpf,0.1,1,38.0,0.000729433526347,0.0001702647362378,0.0292149888461926,0.1851502186936514,0.0007294339792902,0.0013149967501595,0.4603181534800885,3.779350428429411,tauleaping+1mpf-0.1
tauleaping,0,30,True,mpf,0.1,1,57.0,0.0006459946030472,7.250544619975446e-05,0.0249734102611731,0.1463602708762146,0.0006459952221533,0.0007981131225582,0.4252117093145182,3.552016654824523,tauleaping+1mpf-0.1
tauleaping,0,30,True,mpf,0.1,1,57.0,0.0009221988485413,9.57354950704702e-05,0.0267461491460985,0.1928272285942713,0.0009221997285501,0.0010154329142127,0.4509690106049523,4.184358423809203,tauleaping+1mpf-0.1
tauleaping,0,30,True,mpf,0.1,1,57.0,0.0008657826538289,8.972911034950401e-05,0.0508145722782534,0.1593370956451085,0.0008657835024201,0.0003560956216947,0.3915730982550291,4.806504968693623,tauleaping+1mpf-0.1
tauleaping,0,30,True,mpf,0.1,1,57.0,0.0010810749442555,0.0001050988849512,0.0458127701977285,0.6117570002875564,0.0010810757259969,0.0012407969801403,0.3383580291618829,2.339364757743213,tauleaping+1mpf-0.1
tauleaping,0,30,True,mpf,0.1,1,57.0,0.0016040167386821,0.0001254470221549,0.0428893241848345,0.3983319285173216,0.0016040179735972,0.0012959371550478,0.4110192498534346,4.253219102271629,tauleaping+1mpf-0.1
tauleaping,0,30,True,mpf,0.1,1,57.0,0.0007151084370649,0.0001131648380439,0.0281305298204367,0.1910964285866941,0.0007151091266651,0.0015818178354435,0.5130192945195603,5.701833089411733,tauleaping+1mpf-0.1
tauleaping,0,30,True,mpf,0.1,1,57.0,0.0011980271495697,9.448553501189782e-05,0.0337810130167092,0.481402525456948,0.0011980277043446,0.0015896190504518,0.3932426150276277,4.311722533935467,tauleaping+1mpf-0.1
tauleaping,0,30,True,mpf,0.1,1,57.0,0.001335199645078,0.0001541614932084,0.0513009986077337,0.7232690331031714,0.0013352003895438,0.0022844829998434,0.3693189897038573,3.735282380068081,tauleaping+1mpf-0.1
tauleaping,0,30,True,mpf,0.1,1,57.0,0.0016642951223968,0.0001628470968779,0.0447281984868469,0.351404350712022,0.0016642963630135,0.0014844289542663,0.4429534872318687,3.9916584037496814,tauleaping+1mpf-0.1
tauleaping,0,30,True,mpf,0.1,1,57.0,0.0016308014219021,9.133726906640706e-05,0.0342812060035847,0.2804495148531549,0.0016308021775753,0.0017746919223909,0.3715675236189096,3.7072791402429535,tauleaping+1mpf-0.1
tauleaping,0,30,True,mpf,0.1,1,57.0,0.0012683718567741,0.0001141608547205,0.0332439107541609,0.372722417304442,0.0012683718965539,0.0015039327978006,0.3801373429353932,3.8117494944318815,tauleaping+1mpf-0.1
tauleaping,0,30,True,mpf,0.1,1,57.0,0.0006025272113162,7.763584408155352e-05,0.0352329395469911,0.1671531358640698,0.0006025280918362,0.000774590337724,0.4702744934009357,4.6215261830769645,tauleaping+1mpf-0.1
tauleaping,0,30,True,mpf,0.1,1,57.0,0.0016232282958314,9.767466098684412e-05,0.0324453961499148,0.2702460985450136,0.0016232281994785,0.0019669971777576,0.532786962384255,4.737715799030551,tauleaping+1mpf-0.1
tauleaping,0,30,True,mpf,0.1,1,57.0,0.0024171959695311,0.0002151291260758,0.0417000406126159,0.5532638103160793,0.0024171964117944,0.0019340486734112,0.5320460337213634,4.516026002365371,tauleaping+1mpf-0.1
tauleaping,0,30,True,mpf,0.1,1,57.0,0.0018045076663429,0.0002103691469514,0.0544897697625954,0.6856428005555966,0.001804508290505,0.0028090543621357,0.4305500175969559,3.8001172759955097,tauleaping+1mpf-0.1
tauleaping,0,30,True,mpf,0.1,1,57.0,0.0008379855277662,7.271865317660641e-05,0.0300049288588839,0.1410907523258344,0.000837986408794,0.000520176170157,0.3885115710851841,3.3420069505280368,tauleaping+1mpf-0.1
tauleaping,0,30,True,mpf,0.1,1,57.0,0.001236908426959,0.0001072404058037,0.028024908863598,0.3090226702298573,0.001236908917908,0.0018104051805025,0.2763951219114345,3.2064985898226177,tauleaping+1mpf-0.1
tauleaping,0,30,True,mpf,0.1,1,57.0,0.000417812211557,0.0001881982797707,0.0177381416184557,0.1096301053852997,0.0004178130320101,0.0007889748018674,0.4324401529408165,3.859500423798782,tauleaping+1mpf-0.1
tauleaping,0,30,True,mpf,0.1,1,57.0,0.0004990003474525,6.579854221368759e-05,0.029946954467951,0.1535606069584399,0.0004990007886362,0.000742399160933,0.3818199017934315,3.8308880110217465,tauleaping+1mpf-0.1
